"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"76",2018-01-15,1405.71831034,1436.73278153,1318.34442697,1320.2239116,2255061.76276522,1368.53337832,1368.23135159
"77",2018-01-14,1451.08285932,1451.08285932,1317.29079987,1406.63981416,2393594.64727014,1387.90584752,1388.05710065
"78",2018-01-13,1357.24347643,1501.0723574,1355.32046853,1452.58074936,2697151.46525359,1424.72280711,1424.68732664
"79",2018-01-12,1211.26823091,1365.91317054,1155.82356027,1357.69984453,2651781.3546173,1288.8037488,1293.9971898
"80",2018-01-11,1311.38318361,1405.34972754,1174.18881032,1206.6614278,4131725.62179449,1286.18325596,1284.73935666
"81",2018-01-10,1371.77904129,1508.19939803,1258.48699388,1306.76407238,4839221.77513602,1393.22815692,1393.57726543
"82",2018-01-09,1203.87973742,1399.53408506,1203.87973742,1373.72566085,3977924.39029891,1275.18397206,1277.16424323
"83",2018-01-08,1165.11875056,1286.04232682,1042.4056185,1205.74835581,5026022.60465138,1198.51571261,1201.96840898
"84",2018-01-07,1043.41894158,1160.17054202,1041.74292179,1160.17054202,2996149.50931296,1116.32290255,1114.62314985
"85",2018-01-06,1002.58934499,1042.96243117,996.78187708,1042.96243117,2496662.9448265,1024.76825833,1026.24199373
"86",2018-01-05,977.82783235,1062.66284401,974.23313516,1003.79249729,3998369.28063138,1016.25225378,1015.55866155
"87",2018-01-04,965.00603231,1041.8551494,935.00227096,981.06789098,4125657.99651118,981.33318299,979.21645593
"88",2018-01-03,887.26544019,976.04699051,871.26265631,964.53039975,3365800.63750046,904.11156767,904.96378922
"89",2018-01-02,775.83480867,913.94710254,775.83480867,886.15067609,4567657.99342352,881.40781904,878.56441045
"90",2018-01-01,758.45998262,785.58215462,742.40169479,774.82330583,2061583.32054857,765.22288348,765.15054687
"91",2017-12-31,713.75633849,763.24742943,709.2570539,757.84198157,2043770.39820312,735.5480195,736.88149927
"92",2017-12-30,759.07065836,760.20508482,692.17885277,719.62327867,2898369.65926376,723.38144586,723.98899773
"93",2017-12-29,741.65480925,774.54287359,732.22102099,759.19898404,2191409.18556014,754.01820864,754.15934007
"94",2017-12-28,762.70576489,763.59914352,701.90093558,739.52859233,2429127.55024935,728.6331413,729.16249886
"95",2017-12-27,777.16697856,787.58836603,737.14300265,762.84237609,1957804.78412119,770.52770485,770.49615249
"96",2017-12-26,763.58438482,784.65741882,759.35634106,776.03168818,2093990.50225987,771.42879317,771.39905192
"97",2017-12-25,697.15591406,784.59040355,697.15591406,765.1505595,2576503.73499962,753.46184559,753.82415315
"98",2017-12-24,723.14280756,723.14280756,623.27515232,693.62217634,2650083.250354,673.63128898,674.21023098
"99",2017-12-23,677.99192285,764.89085497,677.61134118,717.38451377,2608676.63943688,725.05101347,729.95088819
"100",2017-12-22,821.18471548,825.81411784,538.43441437,675.99032891,6234415.33986372,681.13439172,687.88804951
"101",2017-12-21,822.04546415,877.79058531,789.68153854,818.02239512,3422891.36518072,836.01105641,836.55458478
"102",2017-12-20,827.21616062,848.15288295,747.35306185,820.16104353,3810442.97050463,810.52628541,810.997609
"103",2017-12-19,791.30455063,877.97841029,778.61009917,826.84517382,4067254.74428411,830.58210958,829.6281864
"104",2017-12-18,717.95522976,800.88224022,688.7334808,794.38662034,3261417.64681572,737.8916786,734.34775921
"105",2017-12-17,692.73755717,731.65894015,692.73755717,717.38853298,2215224.50908002,716.35717445,716.39887401
"106",2017-12-16,685.02386412,714.22138941,680.42549885,693.95076918,2344543.66940346,695.98679679,695.54572899
"107",2017-12-15,696.81121045,696.81121045,620.19152941,683.94925455,3429904.01426341,669.18512136,670.42271982
"108",2017-12-14,701.73630198,752.14952647,664.33562976,696.10266356,4605105.44407618,711.51836585,709.86646337
"109",2017-12-13,647.62145115,738.51819143,596.50865006,701.50533653,5911860.4145011,667.22642289,668.1948469
"110",2017-12-12,514.79010342,655.03970705,502.0934794,650.27832739,7538963.69173346,572.68556761,562.53262246
"111",2017-12-11,438.39027918,515.30104533,438.39027918,515.30104533,3007375.05725421,467.35606154,467.44644907
"112",2017-12-10,472.38823048,472.38823048,427.26699621,439.09573385,2729777.80424088,446.63789741,446.65521419
"113",2017-12-09,454.12559491,501.76559795,451.6221834,472.0713608,3719535.76221305,475.07572502,475.2266634
"114",2017-12-08,428.15343059,462.86716775,419.48951808,454.15293469,4454545.45276413,442.12908004,441.64048247
"115",2017-12-07,428.12661223,440.23491022,414.31677434,427.91628586,4053785.72893119,428.66132299,428.75616635
"116",2017-12-06,463.56764413,464.13328579,421.34910645,428.15540984,3578862.41317729,446.31466873,447.76493405
"117",2017-12-05,471.1616181,472.8761762,459.8433525,463.75410101,1955837.36585267,467.47320224,467.55320342
"118",2017-12-04,465.82013059,475.09364185,453.95451537,470.75804174,1615330.74067963,466.0992045,466.13173577
"119",2017-12-03,462.8732055,482.22380544,449.98465228,465.35206171,1815255.58457206,470.5959952,471.15236565
"120",2017-12-02,465.05847989,475.54323775,454.40820708,463.14821025,1958991.21724648,466.25638307,466.03830216
"121",2017-12-01,442.52251461,471.57811759,427.33339256,465.1865911,2681761.77636808,446.50897174,448.12152567
"122",2017-11-30,430.28932207,464.5318009,400.05013741,444.57517411,4398605.17414723,437.90158014,437.71396461
"123",2017-11-29,474.12685065,524.47469801,424.23787958,424.23787958,5853578.22782829,477.37902739,480.34041805
"124",2017-11-28,480.44286639,483.46960384,466.67758385,473.3713435,2530468.16603978,476.75207839,476.68579638
"125",2017-11-27,471.06084543,493.23202382,467.68999159,481.02638736,2617428.42407113,479.23671382,479.20309556
"126",2017-11-26,466.59440272,471.9266002,452.41720105,470.83888964,2226624.2490571,461.46220756,461.42147962
"127",2017-11-25,474.7785831,486.94409171,459.73789671,466.85600341,2725271.84747922,470.62531155,470.70363094
"128",2017-11-24,408.96630507,481.52468517,403.89488279,474.50579903,4528305.70905163,433.84688221,433.43313874
"129",2017-11-23,381.59802891,426.78901977,376.49410756,411.01923684,4081852.99610907,404.09153371,399.4080612
"130",2017-11-22,361.00764796,382.2938986,360.53934156,380.929662,1730618.90123869,366.84894088,367.12845354
"131",2017-11-21,366.00202366,371.79974613,351.50627364,360.6491005,2290651.24635673,364.73506885,364.72766734
"132",2017-11-20,353.34632404,371.14324421,352.86220882,365.84565187,1768089.43518923,359.07895931,359.92205937
"133",2017-11-19,347.2466155,371.84133325,344.60407006,353.25786856,3016223.65336478,355.29188425,354.58729176
"134",2017-11-18,332.23345784,349.8058986,328.05036994,347.60294571,1549499.02199225,334.50670779,334.62601443
"135",2017-11-17,330.1827064,335.17675281,327.07065179,332.41930742,1516667.16388955,331.39363542,331.51892212
"136",2017-11-16,334.22881225,335.18376776,325.56142474,330.08037789,2666445.40958935,330.26471275,330.31521229
"137",2017-11-15,337.48959112,341.11523311,330.14369466,333.90064123,1889285.53321716,335.84466609,335.61147178
"138",2017-11-14,316.59401739,339.32522961,316.59401739,337.3276974,2857985.87585658,328.63818019,328.31130566
"139",2017-11-13,307.92980797,322.54993311,307.75057039,316.70497175,2910775.29077831,316.22872236,316.24087168
"140",2017-11-12,314.30512117,318.47407104,298.66615393,308.19017053,4423133.29590017,307.74565747,307.67855237
"141",2017-11-11,299.28014159,319.35562109,298.07895141,314.69221702,2307103.05638958,306.30555191,306.39151701
"142",2017-11-10,321.68522435,324.88587018,294.49393648,298.9593302,2590055.83239255,311.24725523,311.2386224
"143",2017-11-09,308.4708468,329.58315913,307.26733617,321.1862278,2529542.38868926,318.58647845,318.23634345
"144",2017-11-08,294.48986876,318.75804875,293.40649671,309.73611003,2831679.83610145,302.73540017,301.67379467
"145",2017-11-07,298.94850393,305.42161021,290.84975379,294.721261,1652566.67515643,297.85758684,297.9205778
"146",2017-11-06,296.7133907,305.6829835,294.0168298,298.66955497,1780349.87670127,299.77262208,299.33962624
"147",2017-11-05,300.34064641,301.18256482,295.51258472,296.31173496,980903.43929371,298.51161134,298.45438762
"148",2017-11-04,304.75640074,304.87804562,295.81075248,300.41490144,1238257.13573281,299.9799107,299.99289142
"149",2017-11-03,288.20845464,308.52156439,288.20845464,304.93412191,1893398.4839392,295.739562,296.48069579
"150",2017-11-02,291.89768584,294.4816922,280.96322305,286.73280622,2886856.07735231,288.15173016,288.14401338
"151",2017-11-01,304.89976718,305.83539879,291.03399664,291.47889835,1629531.0424905,300.82495266,301.21994931
"152",2017-10-31,306.51002545,310.23725343,305.11150783,305.19602018,1067471.12565108,307.4576317,307.51023025
"153",2017-10-30,304.04343728,309.87589405,303.81724949,306.82227231,956561.20777924,307.10882814,306.88712613
"154",2017-10-29,296.22970017,313.55247594,296.00934801,304.44287219,1622914.61151092,303.96198211,302.78019192
"155",2017-10-28,297.75184933,300.2503646,293.16023808,296.01508762,758120.04381246,296.2031512,296.15605133
"156",2017-10-27,296.17743168,299.34366299,294.39220092,297.45724085,715938.38814966,297.23161204,297.22229947
"157",2017-10-26,297.92540122,300.58864264,294.48535606,296.25994288,769178.7481767,297.69015119,297.69909881
"158",2017-10-25,298.05535722,301.95179633,291.74209614,298.73699528,953915.36346265,297.30017067,297.43559171
"159",2017-10-24,287.61548584,311.7214852,282.79688088,298.02429787,2131561.42669133,305.11495867,304.64890114
"160",2017-10-23,295.2889068,295.2889068,279.15868858,287.01246144,1559156.8551056,286.67619561,287.29532801
"161",2017-10-22,299.97689552,306.0242919,292.56321906,295.54814807,908213.65040696,297.23076711,297.05253026
"162",2017-10-21,303.06084473,303.63842934,291.71387039,299.64843081,1131078.33863671,298.33519655,298.3609143
"163",2017-10-20,308.37377683,310.68283815,302.5569938,303.75373098,1106060.22009633,306.58827035,306.64281588
"164",2017-10-19,314.38617141,316.74287799,305.85948796,308.42447706,1040236.01801042,310.18482904,309.9119568
"165",2017-10-18,316.9799707,317.09613684,290.52666205,314.02244986,1866532.99407252,305.66736802,305.90016334
"166",2017-10-17,333.0199035,333.23737168,311.86702166,317.04584229,1503019.9933319,324.67980766,324.33211501
"167",2017-10-16,336.44707129,350.10851254,331.96171754,332.82834479,1979998.3690446,338.92595422,338.90851293
"168",2017-10-15,338.92641842,341.81606996,319.06298093,335.86118327,1855024.2241418,332.42369752,332.8225023
"169",2017-10-14,338.29617731,347.19804626,334.20582535,338.70484699,1435721.2611766,341.4547496,342.21925778
"170",2017-10-13,303.90513491,348.39314655,300.86789444,338.27285188,3780906.68701016,331.57059031,327.84344483
"171",2017-10-12,303.31458824,308.79095379,303.02877885,303.92021018,1594181.01223846,305.82854407,305.94851049
"172",2017-10-11,300.12108984,304.40915934,299.27785836,303.46323322,749625.42925325,301.82675485,301.8544121
"173",2017-10-10,296.78444812,305.84408046,292.88857591,299.69875976,1091665.35696456,299.77865175,299.88134159
"174",2017-10-09,308.33513217,308.82331258,287.41775207,296.42037963,1745732.52176382,300.63598017,301.60770775
"175",2017-10-08,309.97419304,311.89170893,307.92316692,308.24740767,796878.86101524,310.10143618,310.10977399
"176",2017-10-07,307.91791378,312.65765121,304.33107824,310.32948485,977593.15696578,308.03192325,308.092864
"177",2017-10-06,294.7781212,308.27285844,294.09113142,308.27285844,893487.31651096,299.45765235,299.33285982
"178",2017-10-05,292.60903136,296.97288713,288.39228469,294.72631597,724856.49167057,292.8617851,292.95192626
"179",2017-10-04,292.3611926,295.41135359,290.24495486,292.59041371,744310.65033807,293.16160407,293.15493062
"180",2017-10-03,296.68329068,298.97352518,287.57991442,291.83434549,942299.54400651,292.59601341,292.71804809
"181",2017-10-02,300.93394791,301.36683733,294.06287398,296.49027247,956408.71114014,298.14650133,298.24190753
"182",2017-10-01,299.16869033,301.84812641,293.90866044,300.87945136,842088.0277551,297.48194706,297.54434352
"183",2017-09-30,289.38734937,300.86559068,289.18694847,299.14136693,962161.30024335,296.12972906,296.65371337
"184",2017-09-29,296.22060474,297.14393548,277.29333011,289.44116427,1719412.96887786,288.46571479,288.60711417
"185",2017-09-28,303.61504243,304.41345653,292.94989041,296.37840146,1472027.40346672,298.4480954,298.45466819
"186",2017-09-27,284.42181131,304.87856332,283.92016444,303.35191488,1639216.0388311,292.51188144,291.54746497
"187",2017-09-26,289.46832246,290.53415388,284.04346468,284.62130347,1074284.50522927,287.47313186,287.29665522
"188",2017-09-25,280.0363723,290.60360755,280.0363723,289.56855628,1518832.53034973,286.49946125,286.56726367
"189",2017-09-24,284.31335428,291.06548753,276.44485579,280.36489323,1909868.71979717,283.10535491,283.2703242
"190",2017-09-23,262.84455126,284.04980193,259.93175823,284.04946634,1517483.94202708,273.33324404,273.01186326
"191",2017-09-22,257.17819543,269.07120753,254.69180587,262.91084115,1542707.4419914,261.10854875,261.14825697
"192",2017-09-21,278.95424881,283.88237206,253.92446611,258.00077423,2221946.19639716,272.20159371,273.68408371
"193",2017-09-20,279.38531876,286.60770674,274.25166289,279.22791995,1395603.00585376,280.83134958,281.03683012
"194",2017-09-19,288.9806405,291.67239795,270.47284761,280.06604139,2222027.35740239,281.26936068,281.16108266
"195",2017-09-18,249.78170291,289.79338484,249.78170291,288.32495145,3823906.21832258,280.39362067,278.90607165
"196",2017-09-17,244.21463375,255.24261135,233.62025867,250.0003553,1635469.58981248,243.80492574,244.62785629
"197",2017-09-16,248.7606935,261.26473542,237.09515189,244.47128003,2809332.29234577,248.97072064,247.77756744
"198",2017-09-15,213.04975234,255.38613713,193.15584039,248.16237422,7767046.97303599,231.14834043,230.29761749
"199",2017-09-14,276.28687434,280.27992354,212.44097008,212.44097008,5331136.21466939,246.93742362,251.29622175
"200",2017-09-13,290.52805589,290.52805589,260.34933836,276.73220383,3202048.25545749,275.66383786,276.0327221
"201",2017-09-12,294.29583965,310.95573289,286.4773516,290.92248284,2449521.33477933,297.91457319,298.47229779
"202",2017-09-11,284.99938313,300.21770243,284.99938313,293.92684724,1866576.85562786,291.98732055,292.05201209
"203",2017-09-10,291.62967376,292.50277684,265.79938969,285.00772799,2008716.08363183,282.81752664,282.81109957
"204",2017-09-09,294.03508441,298.77988261,284.53511423,291.94401874,1711005.84291054,291.57746259,291.28477496
"205",2017-09-08,328.52212347,328.52212347,282.36239081,293.92756418,3576437.28385989,307.01124336,311.96335873
"206",2017-09-07,333.382472,333.382472,319.88732921,328.44138318,1999334.35839957,326.40059286,326.54127676
"207",2017-09-06,313.10791548,334.55706647,313.10791548,333.86979633,3072073.1039114,326.15635366,326.59823551
"208",2017-09-05,295.01900882,318.68497328,267.08713488,313.12084871,4894722.1861374,295.06068727,296.40494501
"209",2017-09-04,346.66244955,346.66244955,278.91032196,293.09230067,5920714.31830032,305.79199385,310.73522684
"210",2017-09-03,349.15013022,366.24396318,331.60593052,347.38239471,2750386.07006285,347.26150714,346.81430058
"211",2017-09-02,387.31813373,388.73713708,327.50131668,348.34351592,4132377.13936365,352.89047063,356.33156499
"212",2017-09-01,383.22826593,390.04638244,383.17051644,387.25394043,2076778.42397917,387.5520179,387.5514037
"213",2017-08-31,378.02013595,385.60730212,375.91185298,383.08208926,1719635.22169196,380.08411696,380.66844941
"214",2017-08-30,369.77340122,388.04662364,362.69543406,377.41765313,3407542.24834862,376.83302565,376.81819085
"215",2017-08-29,347.99306976,373.48852631,347.17912928,370.7225338,3077739.16837992,360.96809595,359.60622138
"216",2017-08-28,349.43519671,351.07426183,336.71431523,347.98654208,2333419.80559531,343.95900451,344.08266492
"217",2017-08-27,334.63909828,348.19044239,334.63909828,348.19044239,1660881.54321713,337.866398,337.83645814
"218",2017-08-26,332.35188018,336.26126673,328.0122893,334.69171389,1401015.53261065,331.46302097,331.58119021
"219",2017-08-25,325.83460243,336.52941473,325.83460243,332.42272793,2138591.54646125,332.51582606,332.40792672
"220",2017-08-24,318.14764076,328.24239545,317.24018985,325.53700448,1941752.37571302,322.01561079,322.10444329
"221",2017-08-23,315.365683,324.90355932,314.80160188,318.37083871,2270956.14623518,319.3103407,319.46748991
"222",2017-08-22,322.00698797,327.54624078,297.39826658,312.34517943,5661929.77661474,311.71355649,311.6585472
"223",2017-08-21,300.63720284,346.16542067,297.67146898,320.7806408,7249796.61022547,327.09526965,322.12536712
"224",2017-08-20,295.02034919,300.7275968,292.3306052,300.61695896,1638060.60071208,296.16152773,296.31961798
"225",2017-08-19,296.40373749,300.81292115,286.9137135,295.56586333,2494572.5699748,295.15137476,295.15806314
"226",2017-08-18,301.39794822,308.00424214,293.89076286,296.87370352,2712135.15420733,302.17786125,302.03749559
"227",2017-08-17,302.83942424,311.18861806,301.21584503,301.97296686,2727441.39660239,305.67070724,305.61382608
"228",2017-08-16,291.2316958,304.84756851,286.55503012,303.12386509,2755890.08858809,296.89380123,297.00129767
"229",2017-08-15,300.98617893,301.48160339,281.14783212,290.83129144,3425300.64959202,292.47454119,292.91297785
"230",2017-08-14,299.52138182,308.58249444,298.42049881,301.38570567,2565478.80339657,302.69390866,302.57613208
"231",2017-08-13,311.52193697,311.80668069,290.12040341,299.05551195,4374008.72935131,298.57930719,298.84101466
"232",2017-08-12,309.84257001,318.02741218,309.29621559,311.88713489,3392372.06758429,313.81642039,313.82588226
"233",2017-08-11,295.77503245,310.29423526,295.63524626,310.29423526,2764154.50958342,301.04739738,301.17432863
"234",2017-08-10,296.66811378,306.56168597,290.25777479,297.17373445,3425130.01433333,299.12020352,300.08374373
"235",2017-08-09,297.4934882,317.61033602,278.61594308,295.99752396,8933256.74786514,298.81041332,299.62919879
"236",2017-08-08,269.38108887,299.09184546,266.9641855,296.97336535,5023068.075539,283.63296143,282.00482785
"237",2017-08-07,260.47825137,271.41129248,256.8751584,269.3112652,3380537.9821516,265.16378765,265.38025166
"238",2017-08-06,256.33219517,270.98769598,252.82964128,262.01913337,5661765.17016834,261.15371726,261.37867256
"239",2017-08-05,223.20198281,256.21120684,222.10912183,256.21120684,5151109.53619979,240.76268184,238.18923222
"240",2017-08-04,225.8228065,228.21658078,222.17205142,223.19426932,2286426.04631417,224.82190031,224.75747868
"241",2017-08-03,220.17523839,228.25216432,219.51419983,225.84494715,2385605.06754033,224.04615726,224.05503307
"242",2017-08-02,227.43421116,230.24759821,218.25277637,220.0102133,2787098.11241602,224.0747512,223.39771412
"243",2017-08-01,204.70667105,229.56262799,204.70667105,227.51958571,7054457.39638881,220.50523829,219.6670981
"244",2017-07-31,198.40902883,204.71373163,194.29086097,204.1651052,2759483.03154041,199.47990804,199.40561959
"245",2017-07-30,206.98137972,209.62314568,196.71021697,198.20918027,2953725.21062932,201.42043735,201.36611773
"246",2017-07-29,194.13715288,210.25998907,180.15801419,206.36359021,4008781.78417183,189.45061327,189.19142998
"247",2017-07-28,204.61687048,205.47029599,192.72481052,194.0644909,2794863.79090962,198.77834347,199.46202823
"248",2017-07-27,205.28486435,206.64237041,201.84102401,204.71989433,1867081.64094215,204.43901854,204.31938081
