"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"48",2018-02-12,1220.58326909,1299.45239776,1220.58326909,1281.70148604,376856.28188976,1268.83053767,1269.86972535
"49",2018-02-11,1258.70631065,1310.90644161,1197.79790035,1218.8624528,516017.46455029,1242.67363192,1242.45046408
"50",2018-02-10,1312.84294971,1394.71477959,1217.11537337,1257.44949977,561189.21603731,1295.21141215,1287.9628496
"51",2018-02-09,1285.33020773,1347.65462527,1206.34868288,1311.97295188,883746.28123743,1283.34426451,1288.02999183
"52",2018-02-08,949.78630928,1336.78018689,949.78630928,1282.0918963,1724242.7683361,1171.97661436,1147.88446158
"53",2018-02-07,968.25801549,1035.56487853,898.38543857,951.48933127,907271.15393612,975.80471966,973.22538982
"54",2018-02-06,883.60533788,976.13380352,762.04471065,972.57149657,809159.83955024,867.44206366,866.71564145
"55",2018-02-05,1155.80986379,1167.52146834,836.14111494,883.87432114,636308.60798098,1021.17570846,1018.28806317
"56",2018-02-04,1272.03230045,1284.43802165,1096.23364049,1154.64703414,571570.90831308,1189.59199925,1199.56103425
"57",2018-02-03,1190.38971692,1309.20250019,1072.45138162,1265.41073528,374370.42185641,1181.41288497,1197.15904707
"58",2018-02-02,1270.6033807,1270.6033807,972.31928045,1191.19729266,768921.47490263,1157.48083965,1158.13511247
"59",2018-02-01,1490.63157748,1500.68085231,1206.37201501,1273.03065251,540883.40776868,1370.81443074,1374.36719941
"60",2018-01-31,1472.74584451,1521.79339894,1407.53939772,1479.80515944,504344.7137003,1477.69895183,1476.39437106
"61",2018-01-30,1654.46392465,1658.16522198,1462.02501613,1462.02501613,457387.46777398,1572.9999256,1586.76887556
"62",2018-01-29,1750.9771248,1763.07967599,1639.71624893,1656.78239862,233271.98894797,1685.98510949,1683.20230889
"63",2018-01-28,1637.87882289,1756.0392889,1636.35533643,1751.56902515,347927.83075828,1705.1736186,1702.60907394
"64",2018-01-27,1606.97385631,1667.47907259,1572.56402607,1633.87461606,284096.34143829,1619.6587528,1621.14081134
"65",2018-01-26,1640.68119103,1682.80523323,1502.79754,1607.56192383,381618.79122445,1598.98787237,1601.84788163
"66",2018-01-25,1669.78472584,1719.84634672,1618.05534015,1644.13969388,327134.46467047,1668.70779606,1668.73562816
"67",2018-01-24,1637.53003695,1696.83957783,1586.8988875,1658.56839377,306474.84764433,1635.05097585,1635.62633738
"68",2018-01-23,1642.53083932,1706.95153415,1517.93684078,1630.69776372,352829.25849954,1621.55707443,1624.04134892
"69",2018-01-22,1818.85287221,1838.19403757,1541.49779647,1649.29121314,426917.7399428,1708.38556853,1710.73752064
"70",2018-01-21,2092.34156542,2092.82432664,1760.23590165,1804.6018353,422946.95683314,1872.87575109,1869.2368338
"71",2018-01-20,1819.57899374,2175.16136233,1813.49703871,2094.83087461,553181.37858114,1971.17803048,1964.03379001
"72",2018-01-19,1764.15490017,1894.06216258,1764.15490017,1810.61636301,465827.89450119,1829.04003863,1828.71821819
"73",2018-01-18,1782.44554639,1919.15088929,1720.32740714,1772.37738806,665422.69549431,1837.94055312,1839.60696157
"74",2018-01-17,1781.46960144,1908.2645655,1374.27953124,1786.80892562,996554.17839393,1677.73545607,1677.44698482
"75",2018-01-16,2457.87454031,2459.32238392,1564.43612181,1799.19142333,1026827.42872924,2054.05757892,2078.3146038
"76",2018-01-15,2592.97593212,2633.15739671,2375.25359803,2450.72499649,605086.32508839,2524.82064553,2529.81228745
"77",2018-01-14,2809.23606963,2868.5695408,2536.77088068,2595.34064387,445533.74171904,2680.4930783,2675.53122214
"78",2018-01-13,2737.08874799,2990.55177223,2700.28541422,2803.95341846,505586.19455292,2791.63558825,2788.21521277
"79",2018-01-12,2551.2393934,2748.36509343,2475.59384577,2732.83559276,471368.65141877,2637.09056858,2645.37610435
"80",2018-01-11,2991.64309125,3069.35563181,2468.24410175,2541.74022552,825394.29945739,2667.80299275,2667.75182101
"81",2018-01-10,2502.67408652,3087.39797726,2459.25012888,2992.28084284,942432.3806057,2723.18416541,2693.65574165
"82",2018-01-09,2539.7267403,2586.42841534,2439.16294317,2505.8038454,490362.81200312,2523.61307512,2523.80951842
"83",2018-01-08,2747.30713582,2778.51986714,2368.95995592,2543.83355022,607035.33198537,2600.37783086,2600.25984408
