coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2018-02-27,10400.88110747,10908.97904144,10241.18111236,10715.40063736,354128.54717036,10613.91427198,10614.82835176
Bitcoin,2018-02-26,9701.02297104,10510.35964934,9499.4287739,10382.77480215,394874.96010563,10027.50046822,9995.8456716
Bitcoin,2018-02-25,9843.556897,9943.23926915,9373.65328109,9673.03079418,312464.91109251,9707.87774683,9700.85281652
Bitcoin,2018-02-24,10330.2592876,10634.71645292,9564.29314916,9836.37273692,400547.80085355,10087.09783107,10078.77680998
Bitcoin,2018-02-23,9994.608197700001,10548.82072018,9751.49278495,10334.54962492,459645.79768245,10152.295526799999,10162.67894983
Bitcoin,2018-02-22,10694.95293028,11056.26183012,9942.85954975,9989.61895992,543095.59546957,10425.94410076,10440.30103068
Bitcoin,2018-02-21,11465.09335386,11483.88413978,10473.17256442,10682.89603627,589603.77608233,10992.44303178,11009.48625224
Bitcoin,2018-02-20,11248.72900545,11994.00396455,11248.72900545,11445.05684045,490643.30632295,11632.40603804,11631.64839309
Bitcoin,2018-02-19,10549.042240100001,11292.256919299998,10492.99723147,11238.10196935,384723.35123346,10928.30488376,10952.20649712
Bitcoin,2018-02-18,11153.73385534,11423.26207032,10297.49028893,10583.36513066,538770.72972064,10844.29512932,10854.21991723
Bitcoin,2018-02-17,10235.86531058,11346.45204373,10156.59052718,11116.05847142,423729.58229805,10744.62143685,10736.30989451
Bitcoin,2018-02-16,10105.96389086,10357.7365335,9809.74486397,10242.49727562,370597.55009039,10098.15307811,10097.42159323
Bitcoin,2018-02-15,9497.95828972,10220.33429115,9419.0509159,10146.10546119,506690.10421647,9855.92728427,9848.14317034
Bitcoin,2018-02-14,8596.5544424,9520.69848487,8596.5544424,9509.60382061,419438.03383709,9079.19243551,9059.9514929
Bitcoin,2018-02-13,8930.04715776,8950.57690788,8454.33120059,8596.72650538,350717.36691051,8670.65870059,8669.96620238
Bitcoin,2018-02-12,8150.17466984,8995.9905501,8150.17466984,8892.561652200002,399916.39514726,8667.72715873,8664.74723154
Bitcoin,2018-02-11,8665.64852122,8665.64852122,7940.14809762,8139.98782558,357233.87924825,8270.31491666,8272.45171268
Bitcoin,2018-02-10,8748.60740831,9161.84283501,8333.30156894,8658.83779662,421424.32240027,8753.30595937,8750.89828193
Bitcoin,2018-02-09,8250.51144795,8754.47385212,7890.91275319,8751.7974237,429570.92582171,8300.72618346,8321.91610891
Bitcoin,2018-02-08,7593.53458084,8558.54171274,7593.53458084,8240.32710543,524447.39941622,8187.11931178,8199.00926395
Bitcoin,2018-02-07,7721.53409119,8513.02460311,7222.59375995,7596.10237711,725845.56632251,7854.64110025,7895.24988414
Bitcoin,2018-02-06,6926.23025842,7882.77484439,6015.18547986,7757.30430767,1305365.9647779,6873.39476073,6835.32653594
Bitcoin,2018-02-05,8199.38159455,8344.10930119,6707.77137555,6901.78583823,888908.85414974,7575.40246171,7658.69352673
Bitcoin,2018-02-04,9162.55555631,9288.12279117,7934.62064529,8230.12521298,473412.41799351,8717.32668322,8723.19451531
Bitcoin,2018-02-03,8833.95649251,9426.91940571,8187.94370348,9129.86494707,443264.53920991,8810.28987941,8883.17526417
Bitcoin,2018-02-02,9114.79696019,9114.79696019,7715.33790542,8843.46440844,896619.88360203,8585.5962567,8585.90593615
Bitcoin,2018-02-01,10269.05775806,10294.32982594,8738.92695185,9152.85985248,602147.24395991,9535.97346059,9632.12976147
Bitcoin,2018-01-31,10171.61408102,10415.48145012,9768.48040086,10226.02130827,376228.45641659,10121.89820197,10118.818727299998
Bitcoin,2018-01-30,11323.57193001,11335.97437261,9995.12941891,10078.06065502,447111.19079866,10723.46394728,10801.70802514
Bitcoin,2018-01-29,11845.90917598,11926.01236942,11227.16433104,11335.42690867,259565.51884267,11465.94753609,11459.45586937
Bitcoin,2018-01-28,11547.1948995,12081.98541667,11484.49459194,11847.6354281,288059.64031750005,11806.00303107,11804.71505944
Bitcoin,2018-01-27,11161.02355168,11738.07474917,10986.42204233,11538.52009558,307399.41247901,11283.34177509,11309.3378483
Bitcoin,2018-01-26,11325.10717548,11717.0687044,10456.17362914,11168.19599971,495536.34779895,11076.62588837,11109.45986394
Bitcoin,2018-01-25,11551.31834172,11869.99428541,11190.23604828,11352.52679322,345878.24523992,11502.29118374,11494.14312799
Bitcoin,2018-01-24,11026.75231538,11690.2347615,10753.02984747,11459.92299477,399131.38173308,11164.46365618,11179.76267314
Bitcoin,2018-01-23,11121.996856799999,11469.05957543,10256.06287439,10962.71770052,523048.45542518,10921.00057086,10929.33353839
Bitcoin,2018-01-22,11959.89565286,12156.13393469,10352.43452851,11149.41236581,545327.11013599,11397.51919666,11434.1979666
Bitcoin,2018-01-21,13504.93967664,13504.93967664,11555.96946647,11835.51622421,464489.77517471,12326.22754378,12327.87437014
Bitcoin,2018-01-20,11959.75714091,13653.516571200002,11959.75714091,13479.28791436,440151.27064015,13062.68006027,13050.78906559
Bitcoin,2018-01-19,11622.20193309,12250.16918605,11269.757233299999,11915.4217551,433030.78030098,11826.35692169,11832.0503085
Bitcoin,2018-01-18,11543.99302173,12378.19913385,11080.06957832,11671.30754588,665369.94309298,11792.87367027,11807.70864833
Bitcoin,2018-01-17,11506.75895175,11962.28506404,9514.3624591,11481.42711383,1027896.97766237,10824.36772408,10832.52986227
Bitcoin,2018-01-16,14353.84815727,14353.84815727,10068.42034686,11631.41756156,899587.80840263,12324.34182004,12632.06797621
Bitcoin,2018-01-15,14313.91893158,14905.16227993,14251.43973201,14310.51979757,269231.56927452,14507.53587251,14508.75242926
Bitcoin,2018-01-14,15067.160952,15180.87119754,13812.15444704,14338.81114854,276543.04021531,14421.29533335,14440.41155219
Bitcoin,2018-01-13,14651.34132048,15303.569528799999,14637.62544507,15084.9734676,242983.80410711,15025.31776822,15031.4479967
Bitcoin,2018-01-12,14009.01807192,14817.69999045,13610.46521696,14638.58540973,313276.20368953,14400.1779926,14418.56301675
Bitcoin,2018-01-11,15592.5317071,15619.12917639,13701.90582904,13966.75602597,462905.22246686,14487.033780000002,14508.54879638
Bitcoin,2018-01-10,15440.17635965,15554.95187395,14576.91398224,15544.172733200001,373795.80336962,15147.64593115,15149.00765718
Bitcoin,2018-01-09,15694.8842655,16126.39140461,15217.72266605,15418.99102884,309061.50915674,15745.21400389,15736.05153832
